1.551546170575159422e+01,2.578427830412891097e+01
2.341291073481993124e+01,1.709748479126206888e+01
5.273065379322090962e+01,2.505947312180652631e+01
4.586314028176315105e+01,2.180077125834756657e+01
4.264314407514702054e+01,3.590319004340550180e+01
8.784720328116392807e+00,8.157723666231582627e+00
3.318456098722634806e+01,4.305415105004408360e+01
3.634281861405004577e+01,3.484145997640681713e+01
1.678429472882531570e+01,3.908943263297652493e+01
9.127053757505020570e+00,1.481516426991961133e+01
5.360729794761196843e+01,5.425671002608412508e+00
